property,species,enrichment_quantity,enriched,enrichment_state
Neurotrophin signaling pathway,bonobo,0.0,0,not_enriched
Neurotrophin signaling pathway,human,0.6512,1,enriched
Neurotrophin signaling pathway,borangutan,0.0,0,not_enriched
Neurotrophin signaling pathway,chimpanzee,0.0,0,not_enriched
Neurotrophin signaling pathway,gibbon,0.0,0,not_enriched
Neurotrophin signaling pathway,sorangutan,0.0,0,not_enriched
Neurotrophin signaling pathway,gorilla,0.0,0,not_enriched
Insulin secretion,bonobo,0.0,0,not_enriched
Insulin secretion,human,0.0,0,not_enriched
Insulin secretion,borangutan,0.0,0,not_enriched
Insulin secretion,chimpanzee,0.0,0,not_enriched
Insulin secretion,gibbon,0.0,0,not_enriched
Insulin secretion,sorangutan,0.6865,1,enriched
Insulin secretion,gorilla,0.0,0,not_enriched
Glutamatergic synapse,bonobo,0.0,0,not_enriched
Glutamatergic synapse,human,0.0,0,not_enriched
Glutamatergic synapse,borangutan,0.0,0,not_enriched
Glutamatergic synapse,chimpanzee,0.0,0,not_enriched
Glutamatergic synapse,gibbon,0.0,0,not_enriched
Glutamatergic synapse,sorangutan,0.607,1,enriched
Glutamatergic synapse,gorilla,0.0,0,not_enriched
